公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1713,國化,45876,53484,55171,-14.22,-16.84,290925,374554,-22.32,-
1714,和桐,2859935,2503028,3105320,14.25,-7.9,14802322,21131439,-29.95,-
1717,長興,3210676,3375459,3233524,-4.88,-0.7,18495776,19058220,-2.95,-
1718,中纖,2778131,2936239,2646384,-5.38,4.97,16246320,17101515,-5.0,"本月份自結異業別合併營收資訊,未經會計師簽證或核閱"
1721,三晃,255335,328075,114488,-22.17,123.02,1939159,743328,160.87,105年03月因與國慶化學(股)公司合併，故本月營業收入淨額及本年度累計營業收入淨額較去年同期增加。
1722,台肥,649516,1080660,1888786,-39.89,-65.61,6025476,7901830,-23.74,"本月營業收入較去年同月營收業收入減少,主要為去年同月有銷售房屋收入約10億元,而本月無此項收入。"
1723,中碳,509856,426617,541038,19.51,-5.76,2566702,3178495,-19.24,-
1724,台硝,189588,187724,145159,0.99,30.6,1025508,828456,23.78,-
1725,元禎,646470,719716,730840,-10.17,-11.54,4184366,4610182,-9.23,-
1726,永記,615602,702695,686821,-12.39,-10.36,3718406,4084363,-8.95,-
1727,中華化,173474,169609,183281,2.27,-5.35,992550,1117654,-11.19,-
1730,花仙子,168705,160526,167051,5.09,0.99,1021411,920460,10.96,-
